line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,System Riser (System Type - Wet),1.0,per hour,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
2,System Riser (System Type - Wet) w/ Control Valve and Water Flow Detector,1.0,per hour,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
3,System Riser (Anti-Freeze) w/ Control Valve and Water Flow Detector,1.0,per hour,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
4,System Riser (System Type - Wet) Electric Fire Pump,1.0,per hour,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
5,System Riser (System Type - Wet) Diesel Fire Pump,1.0,per hour,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
6,Backflow Preventer (System Type - BFP) Maintenance / Repair,1.0,per hour,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
7,Hydrant Maintenance / Repair,1.0,per hour,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
8,Hose Station Maintenance / Repair,1.0,per hour,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
9,Post Indicator Valve/OSY Maintenance / Repair,1.0,per hour,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
10,Flow Switch (System Type - Elevator) Maintenance / Repair,1.0,per hour,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
11,Fire Pump Maintenance / Repair,1.0,per hour,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
12,On-Call Hourly Rate - Non-Emergency,1.0,per hour,,non-product,,,,,,,,,,,,,,,
13,On-Call Hourly Rate - Emergency (Mon.-Fri.),1.0,per hour,,non-product,,,,,,,,,,,,,,,
14,On-Call Hourly Rate - Emergency (Weekends/Holidays),1.0,per hour,,non-product,,,,,,,,,,,,,,,
15,Quarterly Inspections,1.0,per hour,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
