line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,MUST PROVIDE LINK TO MSRP PRICE LIST BEING USED FOR THIS SOLICITATION OR LINK TO CATALOG WITH CURRENT MSRP PRICING,0.0,MSRP PRICE LIST OR LINK,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
2,STRAIGHT TIME HOURLY RATE FOR MASTER ELECTRICIAN,1.0,MASTER HRLY-STRAIGHT TIME,,non-product,,,,,,,,,,,,,,,
3,OVERTIME HOURLY RATE FOR MASTER ELECTRICIAN,1.0,MASTER HRLY-OVERTIME,,non-product,,,,,,,,,,,,,,,
4,EMERGENCY HOURLY RATE FOR MASTER ELECTRICIAN,1.0,MASTER HRLY-EMERGENCY TIME,,non-product,,,,,,,,,,,,,,,
5,HOLIDAY HOURLY RATE FOR MASTER ELECTRICIAN,1.0,MASTER HRLY-HOLIDAY TIME,,non-product,,,,,,,,,,,,,,,
6,STRAIGHT TIME HOURLY RATE FOR JOURNEYMAN ELECTRICIAN,1.0,JOURNEYMAN HRLY-STRAIGHT TIME,,non-product,,,,,,,,,,,,,,,
7,OVERTIME HOURLY RATE FOR JOURNEYMAN ELECTRICIAN,1.0,JOURNEYMAN HRLY-OVERTIME,,non-product,,,,,,,,,,,,,,,
8,EMERGENCY TIME HOURLY RATE FOR JOURNEYMAN ELECTRICIAN,1.0,JOURNEYMAN HRLY-EMERGENCY TIME,,non-product,,,,,,,,,,,,,,,
9,HOLIDAY TIME HOURLY RATE FOR JOURNEYMAN ELECTRICIAN,1.0,JOURNEYMAN HRLY-HOLIDAY TIME,,non-product,,,,,,,,,,,,,,,
10,STRAIGHT TIME HOURLY RATE FOR APPRENTICE ELECTRICIAN,1.0,APPRENTICE HRLY-STRAIGHT TIME,,non-product,,,,,,,,,,,,,,,
11,OVERTIME HOURLY RATE FOR APPRENTICE ELECTRICIAN,1.0,APPRENTICE HRLY-OVERTIME,,non-product,,,,,,,,,,,,,,,
12,EMERGENCY TIME HOURLY RATE FOR APPRENTICE ELECTRICIAN,1.0,APPRENTICE HRLY-EMERGENCY TIME,,non-product,,,,,,,,,,,,,,,
13,HOLIDAY TIME HOURLY RATE FOR APPRENTICE ELECTRICIAN,1.0,APPRENTICE HRLY-HOLIDAY TIME,,non-product,,,,,,,,,,,,,,,
14,MUST PROVIDE LINK TO MSRP PRICE LIST BEING USED FOR THIS SOLICITATION OR LINK TO CATALOG WITH CURRENT MSRP PRICING,0.0,MSRP PRICE LIST OR LINK,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
15,STRAIGHT TIME HOURLY RATE FOR MASTER ELECTRICIAN,1.0,MASTER HRLY-STRAIGHT TIME,,non-product,,,,,,,,,,,,,,,
16,OVERTIME HOURLY RATE FOR MASTER ELECTRICIAN,1.0,MASTER HRLY-OVERTIME,,non-product,,,,,,,,,,,,,,,
17,EMERGENCY HOURLY RATE FOR MASTER ELECTRICIAN,1.0,MASTER HRLY-EMERGENCY TIME,,non-product,,,,,,,,,,,,,,,
18,HOLIDAY HOURLY RATE FOR MASTER ELECTRICIAN,1.0,MASTER HRLY-HOLIDAY TIME,,non-product,,,,,,,,,,,,,,,
