line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,TAX STATEMENTS See section 10.a in Scope of Work found under attachments.,41500.0,EA,,non-product,,,,,,,,,,,,,,,
2,Processing See section 10-b in Scope of Work found under attachments.,41500.0,EA,,non-product,,,,,,,,,,,,,,,
3,Postage See sections 9 & 10 in Scope of Work found under attachments.,29500.0,EA,,non-product,,,,,,,,,,,,,,,
4,#10 Window Outgoing Envelopes See section 11-a in Scope of Work found under attachments.,29000.0,EA,,non-product,,,,,,,,,,,,,,,
5,#9 Window Remittance Envelopes See section 11-b in Scope of Work found under attachments.,29500.0,EA,,non-product,,,,,,,,,,,,,,,
6,9 x 12” Window Envelopes See section 11-c in Scope of Work found under attachments.,500.0,EA,,non-product,,,,,,,,,,,,,,,
7,Insert – Instructional Flyer Option 1 See section 12-a in Scope of Work found under attachments.,29500.0,EA,,non-product,,,,,,,,,,,,,,,
8,Insert – Instructional Flyer Option 2 See section 12-b in Scope of Work found under attachments.,29500.0,EA,,non-product,,,,,,,,,,,,,,,
9,Tax Statements – Delinq. Mailing See section 13-a in Scope of Work found under attachments.,1.0,EA,,non-product,,,,,,,,,,,,,,,
10,#10 Window Envelopes - Delinq. Mailing See section 13-a.1 in Scope of Work found under attachments.,1.0,EA,,non-product,,,,,,,,,,,,,,,
11,#9 Window Envelopes - Delinq. Mailing See section 13-a.2 in Scope of Work found under attachments.,1.0,EA,,non-product,,,,,,,,,,,,,,,
12,Processing – Delinquent Mailing See section 13-b in Scope of Work found under attachments.,1.0,EA,,non-product,,,,,,,,,,,,,,,
13,Postage See section 13-b.2 in Scope of Work found under attachments.,1.0,EA,,non-product,,,,,,,,,,,,,,,
14,PDF Images of statements Please provide total cost for PDF images of tax statements.,41500.0,EA,,non-product,,,,,,,,,,,,,,,
15,Delivery / Freight charges See section 14-a in Scope of Work found under attachments.,1.0,EA,,non-product,,,,,,,,,,,,,,,
16,Design / Typesetting charges See section 14-b in Scope of Work found under attachments.,3.0,EA,,non-product,,,,,,,,,,,,,,,
17,Other charges See section 14-c in Scope of Work found under attachments.,1.0,EA,,non-product,,,,,,,,,,,,,,,
