line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,"BROTHER LASER ALL-IN-ONE MULTI FUNCTION TONER CARTRIDGE, BLACK, HIGH YIELD, 2,600 PAGES, (MFC-7360)",1.0,EA,,token,Synnex,TN450,"BROTHER TN450 BLACK TONER CARTRIDGE, HIGH YIELD - PRINT UP TO 2,600 PAGES WITH T",EA,62.0,False,False,57.85,4.0,61.85,72.76,72.76,,Synnex TN7602PK @ 146.09,Synnex TN227BK-PCI @ 9.75
2,"HP CYAN INK CARTRIDGE (T210, T250, T630, T650)",1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
3,"HP MAGENTA INK CARTRIDGE (T210, T250, T630, T650)",1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
4,"HP YELLOW IN CARTRIDGE (T210, T250, T630, T650)",1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
5,"HP BLACK INK CARTRIDGE (T210, T250, T630, T650)",1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
6,"HP HIGH YIELD BLACK INK CARTRIDGE (T210, T250, T630, T650)",1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
7,"3 PACK HP CYAN INK CARTRIDGE (T210, T250, T630, T650)",1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
8,"3 PACK HP MAGENTA INK CARTRIDGE (T210, T250, T630, T650)",1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
9,"3 PACK HP YELLOW IN CARTRIDGE (T210, T250, T630, T650)",1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
10,"HP CYAN INK CARTRIDGE (9015, 9020)",1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
11,"HP MAGENTA INK CARTRIDGE (9015, 9020)",1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
12,"HP YELLOW INK CARTRIDGE (9015, 9020)",1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
13,"HP BLACK INK CARTRIDGE (9015, 9020)",1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
14,"HP HIGH YIELD CYAN INK CARTRIDGE (9015, 9020)",1.0,EA,,token,Synnex,CLI-42C-PCI,PCI BRAND COMPATIBLE FOR CANON 6385B002 CLI-42C CYAN HIGH YIELD INK CARTRIDGE FO,EA,1,False,False,5.6,0.4444,6.0444,7.11,7.11,,Synnex 332-0410-PCI @ 7.25,Synnex T252XL220-PCI @ 8.40
15,"HP HIGH YIELD MAGENTA INK CARTRIDGE (9015, 9020)",1.0,EA,,token,Synnex,CLI-42M-PCI,PCI BRAND COMPATIBLE FOR CANON 6386B002 CLI-42M MAGENTA HIGH YIELD INK CARTRIDGE,EA,1,False,False,5.6,0.4444,6.0444,7.11,7.11,,Synnex 332-0409-PCI @ 7.25,Synnex TN225M-PCI @ 9.75
16,"HP HIGH YIELD YELLOW INK CARTRIDGE (9015, 9020)",1.0,EA,,token,Synnex,CLI-42Y-PCI,PCI BRAND COMPATIBLE FOR CANON 6387B002 CLI-42Y YELLOW HIGH YIELD INK CARTRIDGE,EA,1,False,False,5.6,0.4444,6.0444,7.11,7.11,,Synnex 332-0408-PCI @ 7.25,Synnex TN225Y-PCI @ 10.88
17,"HP HIGH YIELD BLACK INK CARTRIDGE (9015, 9020)",1.0,EA,,token,Synnex,CLI-42BK-PCI,PCI BRAND COMPATIBLE FOR CANON 6384B002 CLI-42B BLACK HIGH YIELD INK CARTRIDGE F,EA,1,False,False,5.6,0.4444,6.0444,7.11,7.11,,Synnex 332-0407-PCI @ 7.25,Synnex 331-0719-PC @ 8.46
18,"HP COLOR LASERJET B5L37A TONER COLLECTION UNIT (M553, M555)",1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
19,"HP LASERJET TONER CARTRIDGE, BLACK, HIGH YIELD, 20,000 PAGES, (8100)",1.0,EA,,token,Synnex,TN450,"BROTHER TN450 BLACK TONER CARTRIDGE, HIGH YIELD - PRINT UP TO 2,600 PAGES WITH T",EA,62.0,False,False,57.85,4.0,61.85,72.76,72.76,,Synnex 419083 @ 110.17,Synnex TN315BK @ 116.79
20,"HP LASERJET TONER CARTRIDGE, BLACK, 2,000 PAGES, (P1505)",1.0,EA,,token,Synnex,90A-CE390AJ,PCI HI-VALUE HP CE390A JUMBO BLACK TONER CARTRIDGE 18K YLD FOR HP LASERJET M4555,EA,1,False,False,30.57,2.0,32.57,38.32,38.32,,Synnex CF226A-PCI @ 39.33,Synnex TN250 @ 45.08
21,"HP LASERJET TONER CARTRIDGE, BLACK, 10,000 PAGES, (P4014, P4015)",1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
22,"HP LASERJET TONER CARTRIDGE, BLACK, High Yield, 24,000 pages, (P4014, P4015)",1.0,EA,,token,Synnex,TN450,"BROTHER TN450 BLACK TONER CARTRIDGE, HIGH YIELD - PRINT UP TO 2,600 PAGES WITH T",EA,62.0,False,False,57.85,4.0,61.85,72.76,72.76,,Synnex 419083 @ 110.17,Synnex TN315BK @ 116.79
23,"HP LASERJET TONER CARTRIDGE, BLACK, HIGH YIELD, 10,500 PAGES, (CP3525)",1.0,EA,,token,Synnex,TN450,"BROTHER TN450 BLACK TONER CARTRIDGE, HIGH YIELD - PRINT UP TO 2,600 PAGES WITH T",EA,62.0,False,False,57.85,4.0,61.85,72.76,72.76,,Synnex 419083 @ 110.17,Synnex TN315BK @ 116.79
24,"HP LASERJET TONER CARTRIDGE, CYAN, 7,000 PAGES, (CP3525)",1.0,EA,,token,Essendant,HEWQ3971A,"HP 123a, (q3971a) Cyan Original Laserjet Toner Cartridge",EA,16.0,False,False,40.95,0.0,40.95,48.18,48.18,,Synnex 408349 @ 74.06,Synnex TN223C @ 76.40
25,"HP LASERJET TONER CARTRIDGE, YELLOW, 7,000 PAGES, (CP3525)",1.0,EA,,token,Essendant,HEWQ3972A,"HP 123a, (q3972a) Yellow Original Laserjet Toner Cartridge",EA,3.0,False,False,65.64,0.0,65.64,77.22,77.22,,Synnex 80C10Y0 @ 67.80,Synnex 408351 @ 74.06
