line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,"JOHNSON CONTROLS, #AS-LCP-KEY-0",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
2,"JOHNSON CONTROLS, P70CA-1 LOW PRESSURE",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
3,"JOHNSON CONTROLS, P70CA-3C HIGH PRESSURE CUTOUT",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
4,"JOHNSON CONTROLS, A70GA-2C GRAINGER # 38Y109",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
5,"JOHNSON CONTROLS, P45NCA-12 OIL FAILURE",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
6,"JOHNSON CONTROLS, P74FA-1 DIFFERENTAL PRESSURE S/P D/T 1/4"" MALE FLARE CONNECTOR RANGE 8/60 PSIG.",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
7,"JOHNSON CONTROLS, P10BC-7 PRESURE ELECTRIC SWITCH",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
8,"JOHNSON CONTROLS, P70AA-118 PRESSURE CONTROL SWITCH",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
9,"JOHNSON CONTROLS, INSULGREASE thermal paste 8 OZ TUBE # F-1000-182",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
10,"JOHNSON CONTROLS, DUCT SENSOR #TE-631GV-2 GRAINGER #36P636",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
11,"JOHNSON CONTROLS, DUCT SENSOR #TE-6315M-1 AVERAGING TEMPERATURE 1000 OHM 1% 8 FOOT",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
12,"JOHNSON CONTROLS, DUCT PROBE SENSOR #TE-6311M-1 NICKEL 1000 OHM  8"" PROBE / Grainger #36P621",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
13,"JOHNSON CONTROLS, DUCT SENSOR #TE-6001-1 MOUNTING ASSEMBLY",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
14,"JOHNSON CONTROLS, NICHOL PROBE TEMP SENSOR # TE-6000-100, 1000 OHM 0.1 PERCENT -50-250 DEG SAME AS TE-1700-100",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
15,"JOHNSON CONTROLS, DUCT TEMP PROBE TE 6316-M-1 NICKEL AVERAGING PROBE WITH 17 FOOT PROBE ROHS. REPLACES TE-6100-1_x000D_
Grainger #36P630",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
16,"JOHNSON CONTROLS, DUCT TEMP SENSOR TE 6316-P-1 AVERAGING NI 1000 OHM ELEMENT, 17 FOOT LONG WITH PVC CONDUIT BODY.",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
