line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,¾” Corp Stop F1000-3QNL Ford,300.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
2,1” Corp Stop F1000-4QNL Ford,150.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
3,¾” Comp Coupling C44-33 QNL Ford,200.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
4,¾” MIPT x CTS Couplings C84-33 QNL Ford,150.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
5,½” MIPT x CTS Couplings C84-11-QNL,50.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
6,1” MIPT x CTS Couplings C84-44 QNL Ford,150.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
7,1” Comp Coupling C44-44 QNL Ford,200.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
8,1” Curb Stop Compression B41-444W QNL Ford,150.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
9,¾” Curb Stop Compression B41-333W QNL Ford,300.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
10,½” Curb Stop B-11211-W Ford,200.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
11,¾” Curb Stop B-11233-W Ford,300.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
12,1” Curb Stop B-11444-W Ford,200.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
13,½” Coupling C-8411 Ford,150.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
14,½” Straight Coupling C-4411 Ford,100.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
15,½” Meter Coupling 2 ?” long #C38-11-2375-NL,750.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
16,½” Meter Coupling 2” long #C38-11-2-NL,100.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
17,1” x ¾” U-Branch U-4843 Ford,50.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
18,¾” x ¾” U-Branch U-4833 Ford 7.5,200.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
19,1” x 1” Angle Stops Ford KV43-444W,50.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
20,1” x 1” Angle Stops Ford KV13-444W,100.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
21,¾” x ?” Angle Stops Ford KV43-331W,100.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
22,¾” x ?” Angle Stops Ford KV13-331W,100.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
23,¾” x ¾” Angle Stops Ford KV13-332W,50.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
24,¾” x ?” Meter Risers V-419 Ford,80.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
25,¾” x ½” Brass Bushing Ford,100.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
26,1” x ½” Brass Bushing Ford,100.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
27,1” x ¾” Brass Bushing Ford,100.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
28,¾” Meter Coupling Ford,200.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
29,1” Meter Coupling Ford,200.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
30,1” x ¾” Coupling Ford C44-34,200.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
31,1” x 14” U-Branch Ford U18-44,200.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
32,"¾"" x ¾"" x ¾"" Brass Tees Ford T444-333",100.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
33,"¾"" x 1"" x ¾"" Brass Tees Ford T444-334",100.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
34,"1"" x ¾"" x 1"" Brass Tees Ford T444-443",100.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
35,"1"" x 1"" x 1"" Brass Tees Ford T444-444",100.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
36,2” Brass Valve Ford B11-777W,20.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
37,1 ½” Brass Valve Ford B11-666W,20.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
38,1” Angle Stop Ford BA11-444W,20.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
39,1” Flare Stop B21-444-NL,20.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
40,¾” Flare Stop B21-333-NL,20.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
41,"¾"" x ?"" x 12"" Meter Riser V42-12W-NL",20.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
42,"¾"" x ?"" x 15 Meter Riser V41-15W",20.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
43,2” x 1” Brass Saddle Ford S70-204,20.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
44,2” x ¾” Brass Saddle Ford S70-203,20.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
45,6” x ¾” Brass Saddle Ford S70-603,20.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
46,6” x 1” Brass Saddle Ford S70-604,20.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
47,8” x ¾” Brass Saddle Ford S70-803,20.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
48,8” x 1” Brass Saddle Ford S70-804,20.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
49,6” x 2” Brass Saddle Ford S71-607,20.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
50,8” x 2” Brass Saddle Ford S71-807,20.0,Each,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
