line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,TM Franklin Cownie Municipal Building,2.0,times per year,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
2,City Hall – 400 Robert D. Ray Drive,2.0,times per year,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
3,Argonne Armory – 602 Robert D. Ray Drive,2.0,times per year,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
4,Police Station – 25 E. First Street,2.0,times per year,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
5,Municipal Service Center 1 – 1551 E. MLK Jr. Parkway,2.0,times per year,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
6,Municipal Services Center 2 – 1700 Maury Street,2.0,times per year,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
7,Police Academy Annex – 401 E. Army Post Road,2.0,times per year,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
8,Police Academy – 433 E. Army Post Road,2.0,times per year,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
9,MLK Shelter – 1650 E. Garfield Avenue,2.0,times per year,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
10,Four-Mile Community Center – 3711 Easton Blvd,2.0,times per year,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
11,Pioneer Columbus Community Center – 2100 SE 5th Street,2.0,times per year,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
12,Reichardt Community Recreation Center – 915 College,2.0,times per year,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
13,Hub Spot – 215 Water Street,2.0,times per year,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
14,Fire Administration and Training Center – 2715 Dean Avenue,2.0,times per year,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
15,Fire Station #1 – 1330 Mulberry Street,2.0,times per year,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
16,Central - 1000 Grand Ave,1.0,one time per year,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
17,Franklin - 5000 Franklin Avenue,1.0,one time per year,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
18,Forest - 1326 Forest Avenue,1.0,one time per year,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
19,North - 3516 5th Avenue,1.0,one time per year,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
20,East - 2559 Hubbell Avenue,1.0,one time per year,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
21,South - 1111 SW Porter Avenue,1.0,one time per year,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
