line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,"Please provide a percentage discount from your catalog, shelf, or list price. (If your discount varies per item, please put a zero ""0"" in the blank.)",1.0,EA,,non-product,,,,,,,,,,,,,,,
2,"01.45.0001 ALKA-SELTZER,24/BX, SEMCO# TS-1813,(SCIENCE KIT# SK8008800)",26.0,BX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
3,"01.45.0005 ALUMINUM FOIL, 25SQ FT, HEAVY DUTY REF C106456-999 (SCIENCE KIT SK2000200)",146.0,BX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
4,"Frey Scientific Heavy Aluminum Foil, 1.5 X 25 ft, 1 Roll",146.0,BX,,token,Essendant,BWK7120,"Heavy-Duty Aluminum Foil Roll, 87 Gauge, 12"" x 500 ft",EA,1458.0,False,True,35.04,0.0,35.04,41.22,6018.12,,Essendant RFP624 @ 38.16,Essendant RFP624M @ 158.49
5,"Standard Aluminum Foil Roll, 12"" x 75 ft, Each",146.0,BX,,token,Essendant,BWK7110,"Standard Aluminum Foil Roll, 63 Gauge, 12"" x 500 ft",EA,160.0,False,True,24.22,0.0,24.22,28.49,4159.54,,ORS Nasco 405-051115-34051 @ 35.30,ORS Nasco 879-AFW12X1000 @ 52.02
6,"01.45.0016 BALLOONS, REG, ASST., 25/PK ETA #16071-25,",58.0,PK,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
7,"Hygloss Rubber Balloon, 4 Inches, Assorted Colors, Set of 24",58.0,PK,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
8,"01.45.0017 BALLOONS, WATER, 18CM DIA.,COLORED SM.,35/PK NASCO# KI01039(T)M, REF: 64149 (ETA BD30170) (L)",44.0,PK,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
9,"01.45.0019 BAKING POWDER, 200 grams/CAN, SEMPCO BS-0397, REF# 12-020201, (ETA BD56756, 280GM)",10.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
10,"Fridge-n-Freezer Pack Baking Soda, Unscented, 16 oz, Powder, Each",10.0,EA,,token,Essendant,CDC3320084011CT,"Fridge-N-Freezer Pack Baking Soda, Unscented, Powder, 16 Oz, 12/carton",CT,78.0,True,False,0.1783,0.0,0.1783,0.21,2.1,,Essendant CDC3320084011 @ 1.57,
11,"01.45.0022 CORNSTARCH, 16 OZ. BOX",32.0,BX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
