line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,ARROWROOT 1# TIN,1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
2,BABY FOODS - CEREAL. MIXED. 8 OZ. BOX.,1.0,BOX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
3,BABY FOODS - CEREAL. OATMEAL. 8 OZ. BOX.,1.0,BOX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
4,BABY FOODS - CEREAL. RICE. 8 OZ. BOX.,1.0,BOX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
5,BAGS - ZIP LOCK BAGS - GALLON SIZE FREEZER BAGS. 17 PER BOX. STATE NUMBER OF BOXES PER CASE.,1.0,CAS,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
6,BAGS - ZIP LOCK BAGS - QUART SIZE. 27 PER BOX. STATE NUMBER OF BOXES PER CASE.,1.0,CAS,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
7,BAKING SUPPLIES - ALMOND PASTE. SHALL CONSIST OF 50% WHOLE PEELED ALMONDS AND 50% CANE SUGAR GROUND IN A FINE PASTE. AMERICAN ALMOND COMPANY IS THE PREFERRED PRODUCT. PACKED 6 - #10 CANS PER CASE.,1.0,CAS,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
8,BAKING SUPPLIES - CAKE & MUFFIN MIXES - BISCUIT MIX 6/5#,1.0,CAS,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
9,BAKING SUPPLIES - CAKE & MUFFIN MIXES - BLUEBERRY CAKE MIX 6/5#,1.0,CAS,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
10,BAKING SUPPLIES - CAKE & MUFFIN MIXES - BLUEBERRY MUFFIN MIX 12/1# BOXES PER CASE.,1.0,CAS,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
