line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,Peninsula Apartments - 1310 Foster Rd Included Exterior side of exterior glazing,2.0,Per Cleaning,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
2,Chauncey Swan Parking Ramp - 415 E Washington St Included Exterior side of stairwell glazing,2.0,Per Cleaning,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
3,Dubuque Street Parking Ramp - 220 S Dubuque St Included Exterior side of exterior glazing Exterior side of stairwell glazing Exterior side of storage room glazing at the southwest corner of the ramp,2.0,Per Cleaning,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
4,Tower Place Parking Ramp - 335 Iowa Ave Included Exterior side of exterior glazing Excluded Clock tower glazing on the west end roof,2.0,Per Cleaning,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
5,Court Street Transportation Center - 150 E Court St Included Exterior side of stairwell glazing Excluded First-floor tenant glazing,2.0,Per Cleaning,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
6,Capitol Street Parking Ramp - 220 S Capitol St Included Exterior side of stairwell glazing,2.0,Per Cleaning,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
7,Harrison Street Parking Ramp - 175 E Harrison St Included Exterior side of exterior glazing Excluded Residential glazing along Dubuque Street and Prentiss Street Skywalk glazing connecting to MidwestO,2.0,Per Cleaning,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
8,City Hall - 410 E Washington St Included Exterior side of exterior glazing Access Coordinate roof access with the site contact for second- and third-floor glazing,2.0,Per Cleaning,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
9,Robert A. Lee Recreation Center - 220 S Gilbert St Included Exterior side of exterior glazing,2.0,Per Cleaning,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
10,Terry Trueblood Recreation Area Event Lodge - 579 McCollister Blvd Included Interior and exterior sides of exterior glazing Glass railing on the south-side deck Notice Requirement: The Contractor must,3.0,Per Cleaning,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
11,Terry Trueblood Recreation Area Marina - 579 McCollister Blvd Included Interior and exterior sides of exterior glazing Notice Requirement: The Contractor must coordinate the cleaning date and time wit,2.0,Per Cleaning,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
12,Ned Ashton House - 820 Park Rd Included Exterior side of exterior glazing,2.0,Per Cleaning,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
13,Senior Center - Exterior 28 S Linn St Included Exterior side of exterior glazing Exterior side of skywalk glazing connecting to Tower Place Parking Ramp,2.0,Per Cleaning,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
14,Senior Center - Interior 28 S Linn St Included Interior side of tall ground-floor windows and stairwell window on south side of upper floor. Photos identifying the windows requiring interior cleaning ,2.0,Per Cleaning,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
15,"City Park Pool Bathhouse and Filter Building - 200 Park Rd Included Interior and exterior sides of exterior glazing Bathhouse exterior glazing: north elevation - 120 sq. ft. under 10 feet, 540 sq. ft.",2.0,Per Cleaning,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
16,Iowa City Public Library - Exterior Glazing 123 S Linn St Included Exterior side of exterior glazing Exterior ledges and frames,2.0,Per Cleaning,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
17,Iowa City Public Library - Interior Glazing 123 S Linn St Included Interior side of exterior glazing Interior glazing located more than 6 feet above the floor Book End shop on the second floor Teen Ce,1.0,Per Cleaning,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
18,Public Works Facility - 3810 Napoleon Ln Included Interior and exterior sides of exterior glazing Interior and exterior sides of skylights Exceptions West elevation glazing is cleaned on the exterior ,2.0,Per Cleaning,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
19,Eastside Recycling Center - Education Building - 2401 Scott Blvd SE Included Interior and exterior sides of all glazing in the Education Building Special Requirements Remove excess water from interior,2.0,Per Cleaning,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
20,Eastside Recycling Center - ReStore - 2401 Scott Blvd SE Included Exterior side of the south entrance vestibule glazing only,2.0,Per Cleaning,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
21,Animal Shelter - 3910 Napoleon Ln Included Exterior side of exterior glazing Access Coordinate with City staff to access the catio and small dog adoption yard These areas must be accessed from inside ,2.0,Per Cleaning,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
