line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,BARE GROUNDED COATED GRANULAR ICE MELT 50 LB BAG,195.0,BOX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
2,TOILET PAPER 2 PLY 12 ROLLS PER BOX,3912.0,BOX,,token,Essendant,GPC79461,"Mega Toilet Paper, Limited Edition Fresh Evergreen Scent Tube, Septic Safe, 2-Ply, White, 320 Sheets/Roll, 8 Rolls/Pack",PK,287.0,False,False,8.52,0.8932,9.4132,11.07,43305.84,,Essendant KCM48596PK @ 14.58,
3,TOILET PAPER DISPENSERS Jumbo Plastic,115.0,EACH,,token,Essendant,ALHALP450GRY,"Plastic Single Roll Jumbo Toilet Paper Dispenser, 5.3 x 11.5 x 11.7, Gray",EA,360.0,False,False,41.2,0.0,41.2,48.47,5574.05,,,
4,ROLL TOWEL 6 ROLLS PER BOX,3161.0,BOX,,token,Essendant,SEV13720RL,"Natural Unbleached 100% Recycled Paper Kitchen Towel Rolls, 2-Ply, 11 x 9, 120 Sheets/Roll",RL,81.0,False,False,2.98,0.0,2.98,3.51,11095.11,,Essendant TRKHB1990A @ 44.55,Essendant TRKHB1995A @ 46.53
5,ROLL TOWEL DISPENSERS Plastic,80.0,EACH,,token,Essendant,GPC20040EA,"Professional D400 Disposable Cleaning Towel System, 9.9 x 13, Orange, 200 Sheets/Roll with Plastic Bucket",BX,106.0,True,False,0.2452,0.0,0.2452,0.29,23.2,,,
6,MULTIFOLD TOWELS 16 PKG IN A BOX,1696.0,BOX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
7,WAX 5 GALLON BOX,1105.0,CASE,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
8,REVIVE-UHS FLOOR CLEANER/MAINTAINER 5 GALLON,23.0,CASE,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
9,ABCO BOWL MOPS 100/BOX,1158.0,BOX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
10,ANGLE BROOMS ( 12 PER BOX ),565.0,BOX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
11,CEILING TILE 2'x2' White 16/Case,256.0,CASE,,token,Synnex,CMA440,ABOVE TILE SUSPENDED CEILING KIT - WHITE,EA,31.0,False,True,100.3,8.0,108.3,127.41,32616.96,,Synnex ATS-02871 @ 256.07,Synnex LCT81C/TM @ 263.67
12,BLACK STRIP UHS SUPER WHITE POLISH & HOLDER NORTON 45/8X10,48.0,BOX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
13,DUST PAN LOBBY 6/Box,150.0,BOX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
14,"DUSTER TELESCOPIC 60"" 12/BOX",414.0,BOX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
15,GLOVES-RUBBER MEDIUM 12/PKG,320.0,BOX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
16,GLOVES-RUBBER LARGE 12/PKG,282.0,BOX,,token,Essendant,TXINTL650XLHDG,"Pro N650 Series Flock-Lined Nitrile Rubber Gloves, 13"" Long, X-Large, Green, 12 Pairs",DZ,9.0,False,False,12.45,0.0,12.45,14.65,4131.3,,,
17,GLOVES-RUBBER XL 12/PKG,183.0,BOX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
18,STINGER CITRUS RTU GRIFFITTI REMOVER 12/CASE,1072.0,BOX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
19,NORTON 6X9 SCOTCH BRITE GREEN SCRUBBING PAD BOX10,607.0,BOX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
20,6.5 OZ CHEWING GUM REMOVER AEROSOL 12 CANS PER BOX,268.0,BOX,,token,Essendant,BWK353ACT,"Chewing Gum and Candle Wax Remover, Unscented, 6.5 oz Aerosol Spray, 12/Carton",CT,1,False,False,46.16,3.3333,49.4933,58.23,15605.64,,,
21,GRABBER/PICKER,68.0,BOX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
22,"18"" FLOOR SQUEEGEE 6/BOX",26.0,BOX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
23,HANDLE FOR FLOOR SQUEEGEE,26.0,EACH,,token,SP Richards,ETO1628CT,"HANDLE,SQUEEGEE,FLOOR,WOOD",CT,18.0,True,False,1.8217,0.2191,2.0408,2.4,62.4,,SP Richards ETO1628 @ 6.06,Essendant UNGFE45 @ 19.29
24,"18"" FLOOR SQUEEGE SET",26.0,SET,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
25,SPARTAN STRATEGIC CLEANER 4 IN ONE 4GALLONS/BOX,136.0,BOX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
26,"LADDER, STEP- 6' WERNER",1.0,EACH,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
27,PAIL 10 QUART GREY DELUXE 12 PER BOX,52.0,BOX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
28,"PADS 20 "" WHITE Norton 5 PER BOX",90.0,BOX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
29,"PADS 20 "" BLACK Norton 5 PER BOX",272.0,BOX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
30,"PADS 20 "" RED Norton 5 PER BOX",186.0,BOX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
31,"SCRAPER LONG UNGER UNGER 4"" 10 PER BOX",63.0,BOX,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
