line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,"State the size of the development team (not including testers) that supports the product, including any vendor personnel that might dedicated to HISD's instance of the product.",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
2,"State the size of the quality assurance / testing team that supports the product, including any vendor personnel that might dedicated to HISD's instance of the product.",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
3,System Documentation & Organizational Change Management Support,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
4,"The vendor will support, train and provide documentation (i.e., guides, videos...) to support communication and implementation of system updates.",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
5,The vendor has organizational change management communication documents available for utilization and customization by HISD.,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
6,Vendor’s ability to provide knowledge transfer or training on each data element in the vendor's system.,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
7,Knowledge transfer regarding enriched/calculated data is provided.,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
8,Vendor’s plan includes making Subject Matter Expert(s) available to provide assistance in understanding the enriched/calculated data.,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
9,Methodology,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
10,Describe in detail its application lifecycle management methodology with respect to the project's approach for HISD.,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
11,Business processes and system workflow will be defined through on-site work sessions with Houston ISD.,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
12,A data dictionary which adequately explains relevant data and data relationships is provided. Please attach to vendor response.,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
13,"Confirm the vendor provided data dictionary explains, in detail, its raw and enriched/calculated data.",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
14,Support,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
15,Describe your standard Service Level Agreement. Are specific SLAs by customer allowed?,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
16,Describe your standard Performance Levels expected as part of the SLAs described above.,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
17,Support provided through toll-free telephone (6 am - 6 pm Central Standard Time) and online support for the system.,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
18,Vendor size and structure of call center services team.,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
19,"Vendor workflow and/or protocols for issue escalations from call center to tier 2 or 3 support within the vendor’s organization (e.g., reporting specialist, developers)",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
20,Support tools or techniques used to more quickly diagnose and resolve critical or escalated problems. The escalation process should also be described.,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
21,"Do you provide 24/7 support options (i.e. Network, IT, System Outages, etc.) If yes, describe process for after-hours contact, etc.",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
22,Provisions of a tiered support model that enables district-level issues to be resolved ahead of individual teacher-level or school-level issues as necessary.,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
23,Vendor will assist with the data quality issues within a predetermined timeframe.,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
24,"Project / Program Management, including, but not limited to:",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
25,Response demonstrates vendor support of a phased-in deployment of the system to the district; where appropriate.,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
26,"Vendor’s proposed support team for Houston ISD (e.g., professional project managers, technical architects, training consultants, business system analysts, and support managers).",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
27,"Profiles of employees who will be directly involved in implementation, training and support of the proposed platform are provided within vendor response.",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
28,"Provision of project manager, additional support resources, and technical assistance during system go-live and stabilization are included.",0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
29,Pre--planning meetings with the vendor will be conducted.,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
30,Included an implementation (project) plan with a detailed breakdown of the structure of work based on on-site work sessions with Houston ISD within the vendor response.,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
31,Vendor staff on-site to support district during high peak periods during year 1 implementation.,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
32,Vendor provided technical support to campuses during periods of need.,0.0,,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
