line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,Office: Supplies/Equipment- Please submit any discounts for materials or equipment being offered to our members.,1.0,EA,,non-product,,,,,,,,,,,,,,,
2,Office: Supplies/Equipment- Please submit any discounts for materials or equipment being offered to our members.,1.0,EA,,non-product,,,,,,,,,,,,,,,
3,Office: Supplies/Equipment- Please submit any discounts for materials or equipment being offered to our members.,1.0,EA,,non-product,,,,,,,,,,,,,,,
4,Office: Supplies/Equipment- Please submit any discounts for materials or equipment being offered to our members.,1.0,EA,,non-product,,,,,,,,,,,,,,,
5,Office: Supplies/Equipment- Please submit any discounts for materials or equipment being offered to our members.,1.0,EA,,non-product,,,,,,,,,,,,,,,
6,Office: Supplies/Equipment- Please submit any discounts for materials or equipment being offered to our members.,1.0,EA,,non-product,,,,,,,,,,,,,,,
7,Office: Supplies/Equipment- Please submit any discounts for materials or equipment being offered to our members.,1.0,EA,,non-product,,,,,,,,,,,,,,,
8,Office: Supplies/Equipment- Please submit any discounts for materials or equipment being offered to our members.,1.0,EA,,non-product,,,,,,,,,,,,,,,
9,Office: Supplies/Equipment- Please submit any discounts for materials or equipment being offered to our members.,1.0,EA,,non-product,,,,,,,,,,,,,,,
10,Additional Line Items,1.0,EA,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
