line,desc,qty,uom,part,confidence,vendor,sku,matched_desc,catalog_uom,pack_qty,uom_normalized,uom_mismatch,unit_merch_cost,unit_freight,landed_unit,sell_unit,extended,gap,alt_1,alt_2
1,"Section I: Custodial Services for Building Interiors (Square Foot Pricing) Annual Basic Custodial Services (all services provided on an annual basis), not to exceed annual per square foot pricing for ",1.0,Per Square Foot,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
2,"Section II: Custodial Services for Building Interiors (Hourly Labor Rate) Hourly Labor Rate for Additional Custodial Services for Manager Position, not to exceed hourly labor rate for Additional Custo",1.0,Hourly Labor Rate,,non-product,,,,,,,,,,,,,,,
3,"Section II: Custodial Services for Building Interiors (Hourly Labor Rate) Hourly Labor Rate for Additional Custodial Services for Supervisor Position, not to exceed hourly labor rate for Additional Cu",1.0,Hourly Labor Rate,,non-product,,,,,,,,,,,,,,,
4,"Section II: Custodial Services for Building Interiors (Hourly Labor Rate) Hourly Labor Rate for Additional Custodial Services for Day Lead Position, not to exceed hourly labor rate for Additional Cust",1.0,Hourly Labor Rate,,non-product,,,,,,,,,,,,,,,
5,"Section II: Custodial Services for Building Interiors (Hourly Labor Rate) Hourly Labor Rate for Additional Custodial Services for Day Cleaner Position, not to exceed hourly labor rate for Additional C",1.0,Hourly Labor Rate,,non-product,,,,,,,,,,,,,,,
6,"Section II: Custodial Services for Building Interiors (Hourly Labor Rate) Hourly Labor Rate for Additional Custodial Services for Night Lead Position, not to exceed hourly labor rate for Additional Cu",1.0,Hourly Labor Rate,,non-product,,,,,,,,,,,,,,,
7,"Section II: Custodial Services for Building Interiors (Hourly Labor Rate) Hourly Labor Rate for Additional Custodial Services for Night Cleaner Position, not to exceed hourly labor rate for Additional",1.0,Hourly Labor Rate,,non-product,,,,,,,,,,,,,,,
8,"Section II: Custodial Services for Building Interiors (Hourly Labor Rate) Hourly Labor Rate for Additional Custodial Services for All Other Positions, not to exceed hourly labor rate for Additional Cu",1.0,Hourly Labor Rate,,non-product,,,,,,,,,,,,,,,
9,"Section II: Custodial Services for Building Interiors (Hourly Labor Rate) Hourly Labor Rate for Custodial Consulting and Training Services, not to exceed hourly labor rate for Custodial Consulting and",1.0,Hourly Labor Rate,,non-product,,,,,,,,,,,,,,,
10,Section III: Lawn Care Services (Acre Pricing) Basic Lawn Care Services - per acre pricing for basic lawn care services. Basic lawn care services are services required to provide professionally manicu,1.0,Per Acre,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
11,Section III: Lawn Care Services (Acre Pricing) Basic Lawn Care Services for Premium Sports Fields - Premium sports fields are those that require a higher level/more specialized level of care due to th,1.0,Per Acre,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
12,"Section III: Lawn Care Services (Acre Pricing) Fertilizer Application for Lawns - per acre pricing for fertilizer application for lawns. At a minimum, fertilizer should be balanced for lawns containin",1.0,Per Acre,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
13,Section III: Lawn Care Services (Acre Pricing) Pre-Emergent Herbicide Application for Lawns - per acre pricing for pre-emergent application for lawns.,1.0,Per Acre,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
14,Section III: Lawn Care Services (Acre Pricing) Post-Emergent Herbicide Application for Lawns - per acre pricing for post-emergent application for lawns.,1.0,Per Acre,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
15,Section III: Lawn Care Services (Acre Pricing) Lawn Aeration - per acre pricing to core aerate lawns with a hollow tine aerator.,1.0,Per Acre,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
16,Section III: Lawn Care Services (Acre Pricing) Premium Sport Field Fertilization -Premium sports fields are those that require a higher level/more specialized level of care due to the type of activity,1.0,Per Acre,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
17,Section III: Lawn Care Services (Acre Pricing) Pre-Emergent Herbicide Application for Premium Sport Fields - Premium sports fields are those that require a higher level/more specialized level of care ,1.0,Per Acre,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
18,Section III: Lawn Care Services (Acre Pricing) Post-Emergent Herbicide Application for Premium Sport Fields - Premium sports fields are those that require a higher level/more specialized level of care,1.0,Per Acre,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
19,"Section III: Lawn Care Services (Acre Pricing) All Other Lawn Care Services, per acre pricing for all other lawn care services. To include all necessary labor, supplies, equipment, and related materia",1.0,Per Acre,,gap,,,,,,,,,,,,,"no evidence-grade catalog match (part/spec, or >=3-token overlap at score >=40)",,
