coid,status,n_inv,invoices,first_inv,last_inv,exp_item,act_item,item_dev,item_dev_pct,exp_ship,act_ship,ship_dev,ship_dev_pct,tot_dev,credited,net_dev
47QDCC26M1YHL,outstanding,2,276C8VQ BKV2CH2,2026-01-14,2026-01-23,1001.07,1048.74,47.67,4.8,50.06,387.79,337.73,674.7,385.4,47.67,337.73
112-6132605-1555429,outstanding,1,BK67PCZ,2026-09-01,2026-09-01,0.0,228.88,228.88,,0.0,69.0,69.0,,297.88,0,297.88
47QDCC26M1NBP,outstanding,3,01K8H2L 01K9722 BKVLPC4,2026-01-06,2026-01-22,591.5,887.25,295.75,50.0,71.94,71.94,0.0,0.0,295.75,59.15,236.6
113-5980711-1053807,outstanding,1,63CV3ZB,2026-07-07,2026-07-07,0.0,267.12,267.12,,0.0,26.01,26.01,,293.13,0,293.13
112-4863047-2274643,outstanding,2,47ZFQKD BK263B2,2026-05-05,2026-05-06,337.44,590.52,253.08,75.0,49.52,86.66,37.14,75.0,290.22,253.08,37.14
112-0962335-1549018,outstanding,1,BK6734K,2026-09-02,2026-09-02,0.0,247.68,247.68,,0.0,8.4,8.4,,256.08,0,256.08
113-0917836-0854615,outstanding,1,BKZS77W,2026-04-02,2026-04-02,427.17,427.17,0.0,0.0,115.2,330.0,214.8,186.5,214.8,0,214.8
113-1334004-7246641,outstanding,3,64B7HF9 64B7HG2 64B7HGH,2026-01-14,2026-01-15,79.36,245.58,166.22,209.5,14.36,35.58,21.22,147.8,187.44,0,187.44
47QDCC26M1VBM,outstanding,2,276C647 BKWJPXD,2026-01-23,2026-01-27,633.54,633.12,-0.42,-0.1,87.28,260.64,173.36,198.6,172.94,0,172.94
111-0617256-1953842,outstanding,2,68CH6DB 68CH6FG,2026-02-03,2026-02-04,155.04,310.08,155.04,100.0,11.86,23.72,11.86,100.0,166.9,155.04,11.86
113-7091609-6373818,outstanding,3,64B74YN 64B74ZH 64B74ZY,2026-02-02,2026-02-03,67.67,203.01,135.34,200.0,11.86,35.58,23.72,200.0,159.06,0,159.06
114-1827215-0901849,outstanding,1,51ZVTY6,2026-08-10,2026-08-10,425.84,425.84,0.0,0.0,0.0,158.84,158.84,,158.84,0,158.84
113-0590116-1217013,outstanding,2,276Q6R2 BKYL37K,2026-03-05,2026-03-18,131.96,263.92,131.96,100.0,23.86,47.72,23.86,100.0,155.82,23.86,131.96
112-3170070-4400235,outstanding,1,BK666GF,2026-08-31,2026-08-31,0.0,136.68,136.68,,0.0,14.38,14.38,,151.06,0,151.06
111-7213597-5261833,outstanding,1,BKWWJT5,2026-01-29,2026-01-29,225.28,238.64,13.36,5.9,55.42,192.0,136.58,246.4,149.94,0,149.94
113-1731418-0047421,outstanding,3,34K82P5 34K82P6 34K82PZ,2026-01-14,2026-01-14,78.35,235.05,156.7,200.0,9.0,0.0,-9.0,-100.0,147.7,0,147.7
113-5252420-4847431,outstanding,1,BK6742G,2026-09-02,2026-09-02,0.0,137.44,137.44,,0.0,8.4,8.4,,145.84,0,145.84
112-3479007-9216254,outstanding,2,63CRYW3 97BYWPK,2026-01-13,2026-01-15,126.02,257.04,131.02,104.0,14.36,23.72,9.36,65.2,140.38,0,140.38
112-5566465-8185004,outstanding,2,64B7HFY 64B7HG6,2026-01-14,2026-01-15,126.02,257.04,131.02,104.0,14.36,23.72,9.36,65.2,140.38,0,140.38
114-7256957-7242629,outstanding,10,25STPRN BK3K7KH BK3K7KJ BK3K7KK BK3K7KL BK3K7KN BK3K7KP BK3K7KQ BK3K7KR BK3K7KS,2026-05-12,2026-05-15,642.96,642.96,0.0,0.0,49.88,190.0,140.12,280.9,140.12,0,140.12
111-7093543-5480219,outstanding,1,07CKNNW,2026-05-06,2026-05-06,42.74,42.44,-0.3,-0.7,10.0,142.53,132.53,1325.3,132.23,0,132.23
114-9410897-5304268,outstanding,2,68CH3RV 97BZGYP,2026-02-02,2026-02-06,119.63,239.26,119.63,100.0,11.86,23.72,11.86,100.0,131.49,119.63,11.86
114-7788927-2187408,outstanding,4,63CT2KS BK2GQH8 BK2GQH9 BK2GQJB,2026-04-16,2026-04-23,169.2,270.72,101.52,60.0,10.6,38.4,27.8,262.3,129.32,119.92,9.4
113-2236594-3605851,outstanding,2,82CRP2S 82CRP3L,2026-01-13,2026-01-14,122.84,245.68,122.84,100.0,0.0,0.0,0.0,,122.84,0,122.84
113-0274882-1840236,outstanding,1,BKWX4ZL,2026-01-30,2026-01-30,281.6,229.3,-52.3,-18.6,69.27,240.0,170.73,246.5,118.43,0,118.43
114-9216825-9982602,outstanding,2,07BNV7Z BKV8ZVF,2026-01-19,2026-01-30,44.66,143.44,98.78,221.2,16.97,35.28,18.31,107.9,117.09,91.64,25.45
113-6039970-1760210,outstanding,1,BKV85CC,2026-01-19,2026-01-19,124.59,209.91,85.32,68.5,30.65,51.64,20.99,68.5,106.31,0,106.31
112-6973479-0219409,outstanding,1,BK3BBXZ,2026-05-06,2026-05-06,42.74,42.44,-0.3,-0.7,10.0,115.7,105.7,1057.0,105.4,0,105.4
112-7483481-7043400,outstanding,2,85CBK68 BKWDQYQ,2026-01-22,2026-01-29,668.75,754.35,85.6,12.8,15.78,27.64,11.86,75.2,97.46,85.6,11.86
CBS2327,outstanding,2,01LB525 BKV54ZH,2026-01-16,2026-01-27,69.89,147.1,77.21,110.5,17.19,36.18,18.99,110.5,96.2,91.64,4.56
114-6734742-3202659,outstanding,1,BK66K9Q,2026-08-28,2026-08-28,0.0,77.94,77.94,,0.0,12.67,12.67,,90.61,0,90.61
112-4396591-5197051,outstanding,2,07DD66N BK6KZHZ,2026-08-04,2026-08-25,155.88,233.82,77.94,50.0,31.69,44.35,12.66,39.9,90.6,77.94,12.66
111-7598252-7599408,outstanding,2,276N8NB BKX8QLV,2026-02-25,2026-03-09,73.55,147.1,73.55,100.0,13.74,27.48,13.74,100.0,87.29,13.74,73.55
113-8372129-0014661,outstanding,1,BK675LB,2026-09-02,2026-09-02,0.0,75.14,75.14,,0.0,10.0,10.0,,85.14,0,85.14
112-0203616-2988240,outstanding,1,BK67YQB,2026-09-02,2026-09-02,0.0,76.24,76.24,,0.0,8.4,8.4,,84.64,0,84.64
112-7573670-8304255,outstanding,1,BKW34ZJ,2026-02-02,2026-02-02,107.36,119.32,11.96,11.1,26.44,96.0,69.56,263.1,81.52,0,81.52
113-1280963-7845830,outstanding,2,07CBP37 BKZPQFC,2026-04-01,2026-04-10,66.78,133.56,66.78,100.0,11.86,21.86,10.0,84.3,76.78,11.86,64.92
